State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,sex_ratio,literacy_rate
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,10257,29531,300677,181319,481996,161675,367060,164765,188539,83895,74380,16036,1056350,273829,92.5040988845821,72.09943914291186
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,7297,28925,387251,356826,744077,422461,929286,266953,281250,96241,93391,13946,2103528,508664,93.28701295999667,65.52138357465113
Gujarat,Gandhinagar,23.19367979002625,72.67221679790026,473,1391753,723864,667889,1030494,12107,33662,237624,195634,433258,136131,363156,133594,196456,95730,108400,16088,1049555,246993,92.26719383751643,74.04287973512541
Gujarat,Jamnagar,22.410600414263328,69.62062005768232,477,2160119,1114192,1045927,1396534,11573,30384,347158,299167,646325,255785,491009,194057,199634,74029,87523,18573,1320610,502873,93.87313856139696,64.65079007221361
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,6628,26991,489237,287506,776743,271762,700258,294811,311849,137505,139957,30127,1886269,669022,95.32668354747656,67.18056550988997
Gujarat,Kachchh,23.48057203301311,68.82192301497915,468,2092371,1096737,995634,1252319,9631,31961,488293,250982,739275,246956,469402,141345,157284,61366,60386,14062,1150801,581952,90.78147267758816,59.851670664523645
Gujarat,Kheda,22.887653125000018,73.018803515625,483,2299885,1185727,1114158,1660243,5710,24502,461479,160547,622026,295057,641541,250044,310341,148530,84223,19498,1749234,482078,93.96412496299739,72.18808766525284
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,576,4081,138121,22248,160369,76197,146661,58188,52687,28396,14748,3451,380328,192780,96.05594414884784,62.73723227460075
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,6726,24397,267739,141417,409156,145678,266733,140235,190861,112460,85041,26012,967020,261956,96.06909822830727,75.35008633708162
Gujarat,Patan,23.80634198473284,71.75162977099238,470,1343734,694397,649337,837913,2231,12870,301483,102655,404138,168990,364667,78731,129584,57494,46355,11111,856932,452891,93.5109166658266,62.3570587631183
Gujarat,Porbandar,21.550923516515716,69.71896987722886,478,585449,300209,285240,393678,1653,5639,96015,87557,183572,50588,150643,71637,63458,25119,22458,5260,389163,137119,95.01380704775673,67.24377358232742
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,21785,67370,459474,721532,1181006,383780,913928,402240,540278,204306,266295,29924,2740751,738660,92.68999642937635,71.62608639426709
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,5262,25425,544024,121509,665533,214062,597667,211423,333650,198963,110817,24745,1691327,665058,95.18795143345568,65.00622377849854
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,55694,149331,369840,1529998,1899838,566242,1332690,807021,896927,433651,379505,79862,4495898,942150,78.74549118458984,75.17131965714033
